Food,Grams,Serving,Calories,Protein,Fiber,Sugar,Sodium,Sat.Fat, Price 
"Ham, sliced, packaged (96% fat free, water added)",23.0,1 slice,23.0,3.9,0.0,0.0,294.2,0.2, $0.15 
Ham&cheese loaf or roll,57.0,2 slices,137.4,7.8,0.0,0.0,570.0,4.0, $0.49 
"Hamburger; single, reg patty; plain",78.0,1 sandwich,231.7,12.9,1.3,3.8,258.2,3.5, $0.21 
Hard rolls (including kaiser),57.0,1 roll (3-1/2 in. diameter),167.0,5.6,1.3,1.0,310.1,0.3, $0.04 
Hazelnuts or filberts,75.0,"1 cup, ground",471.0,11.2,7.3,3.3,0.0,3.3, $0.51 
"Headcheese, pork",45.0,45 g,70.7,6.2,0.0,0.0,423.5,1.5, $0.55 
"Hominy, canned, white",165.0,1 cup,118.8,2.4,4.1,3.0,569.3,0.2, $0.21 
Honey,21.0,1 tbsp,63.8,0.1,0.0,17.2,0.8,0.0, $0.19 
"Honeydew, raw",177.0,"1 cup, balls",63.7,1.0,1.4,14.4,31.9,0.1, $0.90 
Horseradish,15.0,1 tbsp,7.2,0.2,0.5,1.2,63.0,0.0, $0.08 
"Hot chili peppers, raw",75.0,".5 cup, chopped or diced",30.0,1.5,1.1,3.8,5.3,0.0, $0.28 
"Hotdog, plain",98.0,1 sandwich,242.1,10.4,0.0,0.0,670.3,5.1, $0.57 
Hummus,246.0,1 cup,408.4,19.4,14.8,0.0,932.3,3.5, $3.34 
Hush puppies,22.0,1 piece,65.1,1.4,0.6,0.8,178.9,0.6, $0.07 
"Ice cream bar, chocolate or caramel covered, w/ nuts",54.0,1 bar,174.4,2.4,0.3,16.2,49.7,6.8, $0.46 
"Ice cream cone, chocolate covered, w/ nuts, flavors other than choc",96.0,1 unit,339.8,5.0,1.0,24.0,90.2,11.0, $0.49 
Ice cream cookie sandwich,82.0,1 serving,196.8,3.0,1.0,17.5,132.8,1.4, $0.79 
Ice cream sandwich,70.0,1 serving,165.9,3.0,0.0,13.0,90.3,1.6, $0.68 
"Ice cream, chocolate, rich",148.0,1 cup,371.5,7.0,1.3,25.7,84.4,15.4, $0.52 
"Ice cream, soft serve, choc",86.0,.5 cup,190.9,3.5,0.6,18.2,52.5,6.4, $0.29 
"Ice creams, choc",66.0,.5 cup (4 fl oz),142.6,2.5,0.8,16.7,50.2,4.5, $0.23 
"Ice creams, french vanilla, soft-serve",86.0,.5 cup (4 fl oz),190.9,3.5,0.6,18.2,52.5,6.4, $0.28 
"Ice creams, vanilla",66.0,"1 serving, 1/2 cup",136.6,2.3,0.5,14.0,52.8,4.5, $0.25 
"Ice creams, vanilla, rich",107.0,.5 cup,266.4,3.7,0.0,22.1,65.3,11.1, $0.34 
"Instant grits, ham 'n' cheese flavor",28.0,1 packet (1 NLEA serving),99.4,3.0,1.2,0.8,540.4,0.3, $0.05 
Italian spaghetti w/ meat sauce,554.0,1 serving,670.3,32.1,8.9,10.1,1274.2,5.9, $1.52 
Italian-style wedding soup,245.0,1 cup,120.1,7.0,2.0,3.0,788.9,1.5, $0.86 
Jams and preserves,14.0,1 packet (0.5 oz),38.9,0.1,0.2,6.8,4.5,0.0, $0.06 
Jellies,14.0,1 packet (0.5 oz),37.2,0.0,0.1,7.2,4.2,0.0, $0.04 
"Jellies, reduced sugar",300.0,1 cup,537.0,0.9,2.4,135.9,6.0,0.0, $1.10 
"Kale, cooked",130.0,"1 cup, chopped",36.4,2.5,1.6,1.6,58.5,0.1, $0.61 
"Kiwifruit, green, raw",69.0,1 fruit (2 in. diameter),42.1,0.8,2.1,6.2,2.1,0.0, $0.23 
"Lamb, fresh, loin, lean & fat, 1/8 in.fat, cooked, brld",85.0,3 oz,186.2,21.7,0.0,0.0,66.3,4.7, $2.26 
"Lamb, fresh, loin, lean, 1/8 in.fat, cooked, brld",85.0,3 oz,163.2,22.6,0.0,0.0,68.0,3.1, $3.87 
"Lamb, fresh, shoulder, arm, lean, 1/8 in.fat, cooked, braised",85.0,3 oz,202.3,29.0,0.0,0.0,66.3,3.5, $1.73 
"Lamb, ground, cooked",313.0,"1 unit, cooked (yield from 1 lb raw meat)",885.8,77.5,0.0,0.0,253.5,25.4, $3.15 
"Lamb, leg, shank half, lean & fat, 1/4 in.fat, cooked, roasted",269.0,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",605.3,71.0,0.0,0.0,174.9,13.7, $3.87 
"Lamb, leg, shank half, lean, 1/4 in.fat, cooked, roasted",238.0,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",428.4,67.0,0.0,0.0,157.1,5.7, $4.94 
"Lamb, loin chop, lean & fat, raw",115.0,1 serving,342.7,17.7,0.0,0.0,72.5,12.8, $2.86 
"Lamb, loin chop, lean, raw",115.0,1 serving,163.3,23.0,0.0,0.0,88.6,3.2, $5.29 
Lasagna w/ meat,457.0,1 serving,845.5,49.5,6.9,14.4,2129.6,22.6, $1.75 
"Lasagna w/ meat & sauce, low-fat, frozen entree",309.0,1 package,312.0,21.0,4.0,0.0,559.0,3.0, $2.64 
"Lemon juice, canned or bottled",15.0,1 tbsp,3.2,0.1,0.1,0.4,3.2,0.0, $0.04 
"Lemon juice, frozen, unsweetened, single strength",30.5,1 fl oz,6.7,0.1,0.1,0.7,0.3,0.0, $0.06 
"Lemon juice, raw",30.5,1 fl oz,6.7,0.1,0.1,0.8,0.3,0.0, $0.09 
Lemon meringue pie,113.0,1 piece (1/6 of 8 in. pie),302.8,1.7,1.4,27.0,194.4,2.0, $0.77 
"Lemon pie, fried",128.0,1 pie (5 in. x 3-3/4 in.),404.5,3.8,3.3,16.9,478.7,3.1, $0.42 
"Lemonade, frozen concentrate, pink",437.0,1 can (12 fl oz),839.0,1.0,1.3,203.0,17.5,0.1, $1.41 
"Lemons, raw, without peel",58.0,1 fruit (2-1/8 in. diameter),16.8,0.6,1.6,1.5,1.2,0.0, $0.34 
"Lentil soup, condensed",126.0,1 serving,139.9,8.0,5.0,2.0,800.1,0.5, $0.61 
"Lentils, mature seeds, cooked, boiled",198.0,1 cup,229.7,17.9,15.6,3.6,4.0,0.1, $0.21 
"Lettuce, butterhead (including Boston & Bibb types), raw",163.0,1 head (5 in. diameter),21.2,2.2,1.8,1.5,8.2,0.0, $0.91 
"Lettuce, red leaf, raw",26.0,"10 leaves, inner",4.2,0.3,0.2,0.1,6.5,0.0, $0.07 
"Lima beans, cooked",170.0,1 cup,209.1,11.6,9.0,2.8,28.9,0.1, $0.69 
Lime juice,30.8,1 fl oz,7.7,0.1,0.1,0.5,0.6,0.0, $0.23 
"Limeade, frozen concentrate",247.0,"1 serving, 1 cup (8 fl oz)",128.4,0.0,0.0,32.8,7.4,0.0, $0.23 
"Limes, raw",67.0,1 lime,20.1,0.5,1.9,1.1,1.3,0.0, $0.17 
Liverwurst,28.4,1 oz,92.4,4.0,0.0,0.0,243.8,3.0, $0.25 
"Lobster, northern, cooked, moist heat",85.0,3 oz,75.7,16.2,0.0,0.0,413.1,0.2, $2.18 
"Luncheon meat, canned",45.0,1 serving,85.0,7.9,0.0,0.0,369.0,1.8, $1.03 
"Luncheon meat, pork w/ ham, minced, canned",56.0,"2 oz, 1 NLEA serving",176.4,7.5,0.0,0.0,790.2,5.6, $0.31 
"Macadamia nuts, dry roasted, w/ salt",28.4,1 oz (10-12 kernels),203.0,2.2,2.3,1.2,100.1,3.4, $0.76 
"Macadamia nuts, raw",28.4,1 oz (10-12 kernels),203.6,2.2,2.4,1.3,1.4,3.4, $0.76 
"Macaroni & cheese, frozen entree",283.0,1 container (mean weight over brands),421.7,15.8,3.1,4.3,820.7,7.4, $1.85 
"Macaroni or noodles w/ cheese, microwaveable",61.0,"1 serving, 1 pouch",236.7,7.0,1.0,5.0,550.2,1.7, $0.16 
"Macaroni, cooked, unenriched",140.0,"1 cup, elbow shaped",221.2,8.1,2.5,0.8,1.4,0.2, $0.15 
"Macaroni, veg, cooked",134.0,"1 cup, spiral shaped",171.5,6.1,5.8,1.5,8.0,0.0, $0.24 
"Macaroni, whole-wheat, cooked",140.0,"1 cup, elbow shaped",173.6,7.5,3.9,1.1,4.2,0.1, $0.25 
"Mackerel, cooked, dry heat",154.0,.5 fillet,206.4,40.0,0.0,0.0,312.6,0.7, $2.77 
"Mango nectar, canned",251.0,1 cup,128.0,0.3,0.8,31.2,12.6,0.0, $0.44 
"Mangos, raw",336.0,"1 fruit, without refuse",201.6,2.8,5.4,45.9,3.4,0.3, $1.26 
Maraschino cherries,5.0,1 cherry (NLEA serving),8.3,0.0,0.2,1.9,0.2,0.0, $0.05 
"Margarine-like spread, approx 40% fat, tub, w/ salt",28.0,2 tbsp,92.4,0.6,0.0,0.0,176.4,2.0, $0.08 
"Margarine-like, veg oil spread, 20% fat",25.6,2 tbsp,44.8,0.0,0.0,0.0,0.0,0.7, $0.07 
"Margarine-like, veg oil spread, 20% fat, w/ salt",30.0,2 tbsp,52.5,0.0,0.0,0.0,219.9,0.9, $0.36 
"Margarine, 80% fat, tub",28.4,2 tbsp,202.3,0.1,0.0,0.0,7.9,4.0, $0.06 
"Margarine, 80% fat, tub, w/ salt",28.0,2 tbsp,199.6,0.1,0.0,0.0,184.0,4.0, $0.06 
"Margarine, margarine-like veg oil spread, 67-70% fat, tub",28.0,2 tbsp,169.7,0.0,0.0,0.0,150.1,4.7, $0.08 
"Marmalade, orange",14.0,1 package (0.5 oz),34.4,0.0,0.1,8.4,7.8,0.0, $0.07 
Marshmallows,7.0,10 miniatures,22.3,0.1,0.0,4.0,5.6,0.0, $0.03 
"Mayonnaise dressing, no chol",29.9,2 tbsp,205.5,0.0,0.0,0.1,145.2,3.2, $0.06 
"Mayonnaise, low sodium, low cal, or diet",28.0,2 tbsp,64.7,0.1,0.0,1.2,30.8,0.9, $0.06 
"Mayonnaise, made with tofu",30.0,2 tbsp,96.6,1.8,0.3,0.3,231.9,0.9, $0.10 
"Mayonnaise, reduced calorie or diet, cholesterol-free",28.9,2 tbsp,96.2,0.3,0.0,1.2,211.7,1.3, $0.08 
"Meatballs, meatless",144.0,1 cup,283.7,30.2,6.6,1.8,792.0,2.1, $1.90 
"Milk dessert bar, frozen, made from lowfat milk",68.0,1 bar,100.0,3.0,4.5,15.0,62.6,0.6, $0.78 
"Milk shakes, thick choc",300.0,1 container (10.6 oz),357.0,9.2,0.9,62.6,333.0,5.0, $0.72 
"Milk shakes, thick vanilla",313.0,1 container (11 oz),350.6,12.1,0.0,55.6,297.4,5.9, $0.75 
"Milk, canned, condensed, sweetened",306.0,1 cup,982.3,24.2,0.0,166.5,388.6,16.8, $1.39 
"Milk, canned, evap, w/ vitamin A",126.0,.5 cup,168.8,8.6,0.0,24.4,133.6,5.8, $0.16 
"Milk, dry, nonfat",68.0,1 cup,240.7,24.1,0.0,35.0,1550.4,0.1, $0.34 
"Milk, dry, whole, w/ added vitamin d",128.0,1 cup,634.9,33.7,0.0,49.2,474.9,21.4, $0.24 
"Milk, fluid, nonfat (fat free or skim)",248.0,1 cup (8 fl oz),86.5,8.4,0.0,12.0,128.5,0.3, $0.45 
"Milk, goat, fluid",244.0,1 cup,168.4,8.7,0.0,10.9,122.0,6.5, $0.70 
"Milk, imitation, non-soy",30.5,1 fl oz,14.0,0.5,0.0,1.6,16.8,0.1, $0.09 
"Milk, reduced fat, fluid, 2% milkfat",246.0,1 cup (8 fl oz),123.0,8.1,0.0,12.5,116.0,3.1, $0.22 
"Milk, whole, 3.25% milkfat",244.0,1 cup (8 fl oz),148.8,7.7,0.0,12.3,104.9,4.6, $0.46 
Mince pie,165.0,1 piece (1/8 of 9 in. diameter),476.9,4.3,4.3,46.7,419.1,4.4, $0.33 
"Mixed nuts, oil roasted, lightly salted",28.0,1 oz,170.0,5.0,2.0,1.5,40.0,2.0, $0.31 
"Mixed nuts, oil roasted, w/ peanuts",28.4,1 oz,172.1,5.7,2.0,1.2,1.4,2.5, $0.31 
"Mixed nuts, oil roasted, w/o peanuts",28.4,1 oz,174.4,4.4,1.6,1.0,3.1,2.6, $0.31 
"Mortadella, beef, pork",15.0,1 slice (15 per 8 oz package),46.7,2.5,0.0,0.0,186.9,1.4, $0.40 
"Muffins, blueberry, dry mix",43.0,1 serving (43 g),126.0,1.5,0.6,14.1,205.9,0.5, $0.36 
"Muffins, corn, toaster-type",33.0,"1 muffin, toaster",114.2,1.7,0.5,2.5,141.9,0.6, $0.06 
"Muffins, oat bran",17.0,1 mini,45.9,1.2,0.8,1.4,66.8,0.2, $0.10 
"Muffins, wheat bran, dry mix",28.3,1 oz (1/7 package),112.0,2.0,5.6,7.0,198.0,0.8, $0.03 
"Mung beans, cooked",202.0,1 cup,212.1,14.2,15.4,4.0,4.0,0.2, $0.53 
"Mungo beans, cooked",69.0,"1 oz, dry, yield after cooking",72.5,5.2,4.4,1.4,4.8,0.0, $0.31 
"Mushrooms, portabella, raw",84.0,"1 piece, whole",18.5,1.8,1.1,2.1,7.6,0.1, $0.78 
"Mushrooms, white, cooked",9.8,1 tbsp,2.7,0.2,0.2,0.2,0.2,0.0, $0.10 
"Mussels, cooked",85.0,3 oz,146.2,20.2,0.0,0.0,313.7,0.7, $2.48 
"Mustard greens, cooked",140.0,"1 cup, chopped",36.4,3.6,2.8,2.0,12.6,0.0, $0.43 
"Mustard greens, cooked, from frozen",212.0,1 package (10 oz) yields,40.3,4.8,5.9,0.7,53.0,0.0, $0.68 
"Mustard, yellow",249.0,1 cup,149.4,9.3,10.0,2.3,2749.0,0.5, $0.55 
"Nachos, w/ cheese",80.0,1 serving,274.4,3.5,2.6,1.7,250.4,1.7, $0.39 
"Nachos, w/ cheese, beans, ground beef, & tomatoes",222.0,1 serving,486.2,13.8,8.2,3.6,772.6,5.7, $1.34 
"Nectarines, raw",129.0,1 small  (2-1/3 in. diameter),56.8,1.4,2.2,10.2,0.0,0.0, $0.47 
"Noodles, chinese, chow mein",43.0,1.5 oz,204.3,3.5,1.6,2.5,504.8,1.0, $0.12 
"Noodles, cooked, w/ salt",160.0,1 cup,220.8,7.3,1.9,0.6,264.0,0.7, $0.25 
Oat bran rolls,33.0,1 roll,77.9,3.1,1.4,2.2,136.3,0.2, $0.01 
"Oat bran, raw",94.0,1 cup,231.2,16.3,14.5,1.4,3.8,1.2, $0.63 
"Ocean perch, atlantic, cooked, dry heat",85.0,3 oz,81.6,15.7,0.0,0.0,295.0,0.3, $1.08 
"Octopus, common, cooked, moist heat",85.0,3 oz,139.4,25.3,0.0,0.0,391.0,0.4, $1.01 
"Oil, sesame, salad or cooking",27.3,2 tbsp,240.9,0.0,0.0,0.0,0.0,3.9, $0.62 
"Okra, cooked",85.0,8 pods (3 in. long),18.7,1.6,2.1,2.0,5.1,0.0, $0.48 
"Okra, cooked, from frozen",255.0,1 package (10 oz) yields,74.0,4.2,5.4,7.3,7.7,0.2, $0.89 
"Olives, ripe, canned (small-extra large)",4.4,1 large,5.1,0.0,0.1,0.0,32.3,0.1, $0.08 
"Onion rings, breaded & fried",117.0,1 package  (18 onion rings),480.9,4.5,3.2,6.4,907.9,4.9, $0.93 
"Onion rings, breaded, from frozen",71.0,"10 rings, large (3-4 in. diameter)",196.0,2.9,1.6,3.6,262.7,1.5, $0.44 
"Onions, cooked",94.0,1 medium onion,41.4,1.3,1.3,4.4,2.8,0.0, $0.21 
"Onions, cooked, from frozen",105.0,".5 cup, chopped or diced",29.4,0.8,1.9,3.0,12.6,0.0, $0.38 
"Onions, raw",115.0,"1 cup, sliced",46.0,1.3,2.0,4.9,4.6,0.0, $0.23 
"Onions, young green, tops only",12.0,1 stalk,3.2,0.1,0.2,0.5,1.8,0.0, $0.02 
Orange breakfast drink,253.0,1 cup (8 fl oz),134.1,0.0,0.3,20.3,136.6,0.0, $0.22 
"Orange drink, breakfast type, w/ juice & pulp, frozen concentrate",436.0,1 can (12 fl oz),667.1,1.7,0.4,165.9,113.4,0.0, $1.09 
Orange juice drink,248.0,1 cup (8 fl oz),134.4,0.5,0.5,23.3,5.0,0.0, $0.37 
"Orange juice, canned, unsweetened",249.0,1 cup (8 fl oz),116.9,1.7,0.7,21.8,10.0,0.0, $0.17 
"Orange juice, raw",248.0,1 cup (8 fl oz),111.6,1.7,0.5,20.8,2.5,0.1, $0.35 
"Oranges, raw",184.0,1 large (3-1/16 in. diameter),86.5,1.7,4.4,17.2,0.0,0.0, $1.54 
"Oyster, eastern, canned",248.0,"1 cup, undrained",168.6,17.5,0.0,0.0,277.8,1.6, $3.62 
"Oyster, eastern, cooked, breaded & fried",88.0,6 medium,175.1,7.7,0.0,0.0,367.0,2.8, $2.15 
"Oyster, eastern, farmed, cooked, dry heat",59.0,6 medium,46.6,4.1,0.0,0.3,96.2,0.4, $1.39 
"Oyster, eastern, raw",248.0,1 cup,126.5,14.2,0.0,1.5,210.8,1.2, $6.23 
"Pancakes, blueberry",38.0,1 pancake (4 in. diameter),84.4,2.3,0.3,3.6,156.6,0.8, $0.14 
"Pancakes, plain",38.0,1 pancake (4 in. diameter),86.3,2.4,1.0,3.7,166.8,0.8, $0.22 
"Pancakes, whole-wheat, dry mix",70.0,"1/2 cup, poured from box",240.8,9.0,0.1,8.3,993.3,0.2, $0.14 
"Papaya nectar, canned",31.2,1 fl oz,17.8,0.1,0.2,4.3,1.6,0.0, $0.07 
"Papaya, canned, heavy syrup, drained",39.0,1 piece,80.3,0.1,0.6,20.4,3.5,0.1, $0.17 
"Papayas, raw",230.0,"1 cup, mashed",98.9,1.1,3.9,18.0,18.4,0.2, $1.15 
"Parmesan cheese topping, fat free",5.0,1 tablespoon,18.5,2.0,0.0,0.1,57.5,0.2, $0.23 
"Parsley, fresh",7.6,2 tbsp,2.7,0.2,0.3,0.1,4.3,0.0, $0.02 
"Passion-fruit juice, purple, raw",30.9,1 fl oz,15.8,0.1,0.1,4.1,1.9,0.0, $0.12 
"Pasta w/ sliced franks in tomato sauce, canned entree",252.0,1 serving (1 cup),226.8,11.0,4.0,8.0,723.2,2.5, $0.70 
"Pasta w/ tomato sauce, no meat, canned",238.0,1 cup,166.6,5.3,2.1,9.5,647.4,0.3, $0.31 
"Pasta, flavored w/ meat sauce, ready-to-serve",130.0,"1 serving, 1/2 cup",80.6,2.0,3.0,10.0,479.7,0.5, $0.46 
"Pate, chicken liver, canned",28.4,1 oz,57.0,3.8,0.0,0.0,109.4,1.1, $0.22 
Peace pie,117.0,1 piece (1/6 of 8 in. pie),262.1,2.2,0.9,19.0,253.9,1.8, $0.32 
"Peach nectar, canned, w/o vitamin C",31.1,1 fl oz,16.8,0.1,0.2,4.1,2.2,0.0, $0.05 
"Peaches, canned, in heavy syrup",98.0,"1 half, with liquid",72.5,0.4,1.3,18.3,5.9,0.0, $0.25 
"Peaches, canned, in light syrup",98.0,"1 half, with liquid",52.9,0.4,1.3,13.0,4.9,0.0, $0.25 
"Peaches, dried, uncooked",13.0,1 half,31.1,0.5,1.1,5.4,0.9,0.0, $0.18 
"Peaches, raw",130.0,1 small  (2-1/2 in. diameter),50.7,1.2,2.0,10.9,0.0,0.0, $0.42 
"Peanut butter, chunky style",32.3,2 tbsp,190.0,7.8,2.6,2.7,5.5,2.5, $0.14 
"Peanut butter, reduced sodium",32.0,2 tbsp,188.8,7.7,2.1,3.0,65.0,2.5, $0.14 
"Peanut butter, smooth style",32.3,2 tbsp,192.9,7.2,1.6,3.4,5.5,3.3, $0.14 
"Peanut butter, smooth, reduced fat",36.0,2 tbsp,187.2,9.3,1.9,3.3,194.4,2.1, $0.16 
"Peanut butter, smooth, vitamin & mineral fortified",32.3,2 tbsp,190.6,8.3,1.8,3.4,135.5,3.3, $0.14 
Peanut sauce,18.0,1 tbsp,46.3,1.1,0.3,3.1,240.8,0.5, $0.05 
"Peanuts, oil-roasted",28.4,1 oz,163.9,7.3,2.5,1.2,1.7,1.8, $0.17 
"Peanuts, oil-roasted, w/ salt",28.4,1 oz,163.9,7.3,2.5,1.2,122.8,1.8, $0.17 
"Peanuts, raw",28.4,1 oz,159.6,7.1,2.4,1.1,2.8,1.8, $0.17 
"Pear nectar, canned",31.2,1 fl oz,18.7,0.0,0.2,4.7,1.2,0.0, $0.06 
"Pears, canned, in heavy syrup",76.0,"1 half, with liquid",56.2,0.2,1.2,11.6,3.8,0.0, $0.19 
"Pears, canned, in light syrup",76.0,"1 half, with liquid",43.3,0.1,1.2,9.2,3.8,0.0, $0.19 
"Pears, canned, juice pack",76.0,"1 half, with liquid",38.0,0.3,1.2,7.4,3.0,0.0, $0.19 
"Pears, dried, cooked, w/ sugar",140.0,"1/2 cup, halves",196.0,1.2,8.1,56.0,4.2,0.0, $1.02 
"Pears, dried, uncooked",18.0,1 half,47.2,0.3,1.4,11.2,1.1,0.0, $0.21 
"Pears, raw",161.0,"1 cup, cubes",91.8,0.6,5.0,15.7,1.6,0.0, $0.46 
"Peas & carrots, canned, no salt",255.0,1 cup,96.9,5.5,8.4,7.2,10.2,0.1, $0.43 
"Peas & carrots, cooked, from frozen",80.0,.5 cup,38.4,2.5,2.5,3.5,54.4,0.1, $0.28 
"Peas & onions, cooked, from frozen",180.0,1 cup,81.0,4.6,4.0,6.8,66.6,0.1, $0.44 
"Peas, green, canned, no salt, drained solid",313.0,1 can (303 x 406),216.0,13.8,12.8,13.0,6.3,0.2, $0.53 
"Peas, green, cooked",160.0,1 cup,134.4,8.6,8.8,9.5,4.8,0.1, $2.61 
"Peas, green, raw",145.0,1 cup,117.5,7.9,7.4,8.2,7.3,0.1, $2.33 
"Peas, split, cooked, boiled",12.2,1 tbsp,14.4,1.0,1.0,0.4,0.2,0.0, $0.14 
Pecan pie,133.0,1 slice,541.3,6.0,2.8,33.5,365.8,3.5, $0.93 
Pecans,99.0,"1 cup, halves",684.1,9.1,9.5,3.9,0.0,6.1, $1.53 
"Perch, cooked, dry heat",85.0,3 oz,99.5,21.1,0.0,0.0,67.2,0.2, $1.08 
"Pickles, cucumber, sour",135.0,1 large (4 in. long),14.9,0.4,1.6,1.4,1630.8,0.1, $0.28 
"Pie crust, cookie-type, chocolate, ready crust",182.0,1 crust,880.9,11.1,4.9,47.9,915.5,8.6, $2.63 
"Pie crust, refrigerated, unbaked",57.3,1/4 pie crust,254.8,1.7,1.0,1.4,234.2,5.5, $0.53 
"Pigeon peas, cooked",168.0,1 cup,203.3,11.4,11.3,4.2,8.4,0.1, $0.58 
"Pimento, canned",192.0,1 cup,44.2,2.1,3.6,5.2,26.9,0.1, $3.11 
"Pine nuts, dried",28.4,1 oz (167 kernels),190.8,3.9,1.0,1.0,0.6,1.4, $0.88 
"Pineapple & grapefruit juice drink, canned",250.0,1 cup (8 fl oz),117.5,0.5,0.3,28.8,35.0,0.0, $0.42 
"Pineapple & orange juice drink, canned",250.0,1 cup (8 fl oz),125.0,3.3,0.3,29.0,7.5,0.0, $0.93 
"Pineapple juice, canned or bottled, unsweetened",248.0,1 cup (8 fl oz),132.7,0.9,0.5,25.0,5.0,0.0, $0.38 
"Pineapple, canned, in heavy syrup",49.0,"1 slice, or ring (3 in. diameter) with liquid",38.2,0.2,0.4,8.3,0.5,0.0, $0.11 
"Pineapple, canned, juice pack",195.0,"1 cup, crushed",117.0,1.0,2.5,27.8,2.0,0.0, $0.44 
"Pineapple, raw",165.0,"1 cup, chunks",82.0,0.9,2.3,16.3,2.0,0.0, $1.79 
"Pistachio nuts, raw",28.4,1 oz (49 kernels),159.3,5.7,2.9,2.2,0.3,1.6, $0.26 
"Pizza rolls, frozen, unprepared",80.0,"1 serving, 6 rolls",262.4,7.0,1.0,3.0,479.2,2.0, $0.78 
Plain soymilk,243.0,1 cup,99.6,7.0,1.0,6.0,119.1,0.5, $0.57 
"Plantain chips, salted",28.0,1 oz,148.7,0.6,1.0,0.3,56.6,2.3, $0.27 
"Plantains, cooked",154.0,"1 cup, slices",178.6,1.2,3.5,21.6,7.7,0.1, $0.75 
"Plantains, green, fried",53.0,10 slices (1/4 in. thick),163.8,0.8,1.9,1.9,1.1,2.0, $0.33 
"Plantains, raw",179.0,1 medium,218.4,2.3,4.1,26.9,7.2,0.3, $0.92 
"Plums, canned, in heavy syrup",46.0,"1 plum, with liquid",40.9,0.2,0.4,10.3,8.7,0.0, $0.13 
"Plums, canned, in light syrup",46.0,"1 plum, with liquid",29.0,0.2,0.4,7.1,9.2,0.0, $0.13 
"Plums, dried (prunes), stewed, w/o added sugar",248.0,"1 cup, pitted",265.4,2.4,7.7,62.0,2.5,0.0, $0.73 
"Plums, dried (prunes), stewed, w/o added sugar",248.0,"1 cup, pitted",265.0,2.0,8.0,62.0,2.0,0.0, $0.73 
"Plums, dried (prunes), uncooked",9.5,"1 prune, pitted",22.8,0.2,0.7,3.6,0.2,0.0, $0.05 
"Plums, raw",66.0,1 fruit (2-1/8 in. diameter),30.4,0.5,0.9,6.5,0.0,0.0, $0.24 
"Pomegranates, raw",282.0,1 pomegranate (4 in. diameter),234.1,4.7,11.3,38.5,8.5,0.3, $5.67 
"Pompano, cooked, dry heat",85.0,3 oz,179.4,20.1,0.0,0.0,64.6,3.8, $1.99 
Popcorn cakes,20.0,2 cakes,76.8,1.9,0.6,0.1,57.6,0.1, $0.34 
"Popcorn, air-popped",28.4,1 oz,109.7,3.7,4.1,0.2,2.3,0.2, $0.15 
"Popcorn, caramel-coated, w/ peanuts",57.0,2 oz,228.0,3.6,2.2,25.9,100.9,0.6, $0.48 
"Popcorn, caramel-coated, w/o peanuts",28.0,1 oz,120.7,1.1,1.5,14.9,57.7,1.0, $0.24 
"Popcorn, oil-popped, lowfat",28.0,1 oz,112.6,3.0,3.8,0.2,159.9,0.3, $0.13 
"Pork chop, lean & fat, cooked",131.0,1 chop,264.6,32.4,0.0,0.0,76.0,4.3, $1.62 
"Pork chop, lean, cooked",107.0,1 chop,181.9,31.7,0.0,0.0,337.1,2.1, $1.60 
Pork pupusas,122.0,1 pupusa,283.0,14.0,3.2,1.8,519.7,3.9, $0.29 
"Pork roast, lean & fat, cooked",85.0,3 oz,169.0,22.5,0.0,0.0,57.0,3.2, $0.57 
"Pork roast, lean only, cooked",85.0,3 oz,149.0,23.4,0.0,0.0,58.0,2.2, $0.68 
"Pork sausage links, brown & serve, cooked",60.0,"3 links, 1 NLEA serving",244.2,8.2,0.0,0.0,528.0,7.7, $0.75 
Pork tamale,142.0,1 piece,247.1,10.4,3.4,0.7,671.7,3.8, $0.49 
"Pork, country-style ribs, lean & fat, cooked",122.0,1 rack,301.3,32.1,0.0,0.0,70.8,5.4, $1.54 
"Pork, country-style ribs, lean only, cooked",122.0,1 rack,263.5,34.0,0.0,0.0,70.8,3.5, $2.07 
"Pork, cured, ham -- water added, shank, bone-in, lean & fat, unheated",453.6,1 lb,757.5,75.5,0.0,3.0,4372.7,16.4, $3.12 
"Pork, cured, ham -- water added, shank, bone-in, lean, unheated",85.0,3 oz,77.4,15.9,0.0,0.6,884.0,0.5, $0.68 
"Pork, pickled pork hocks",117.0,3 oz,200.1,22.4,0.0,0.0,1228.5,3.8, $0.61 
"Pork, pig's feet, cooked, simmered",85.0,3 oz,202.3,18.6,0.0,0.0,62.1,3.7, $3.34 
"Pork, pig's feet, pickled",453.6,1 lb,635.0,52.8,0.0,0.0,4291.1,13.4, $1.72 
"Pork, tenderloin, braised",85.0,3 oz,210.0,23.6,0.0,0.0,51.0,4.3, $1.09 
"Pork, tenderloin, cooked",333.0,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",476.2,87.1,0.0,0.0,189.8,4.0, $4.02 
Potato bread,32.0,1 slice,85.1,4.0,2.0,3.0,120.0,0.0, $0.09 
"Potato chips, fat free, salted",56.8,1/4 bag (2 oz),215.1,5.5,4.3,2.1,364.9,0.1, $0.47 
"Potato chips, plain, salted",28.0,22 chips,149.0,1.8,0.9,0.1,147.6,1.0, $0.23 
